Age,Attrition,Department,JobRole,MonthlyIncome,JobSatisfaction,YearsAtCompany,OverTime,EducationField,WorkLifeBalance,PerformanceRating,DistanceFromHome,NumCompaniesWorked,MaritalStatus,Gender,EnvironmentSatisfaction,RelationshipSatisfaction,StockOptionLevel
47,No,Sales,Manager,20000,2,14,No,Other,3,3,1,9,Married,Male,1,2,0
21,No,Research & Development,Healthcare Representative,62013,4,2,No,Human Resources,3,3,19,9,Divorced,Male,1,4,0
30,Yes,Research & Development,Manufacturing Director,97179,1,8,No,Life Sciences,1,3,7,8,Single,Male,3,1,2
40,No,Sales,Sales Executive,80556,2,13,No,Technical Degree,4,3,4,7,Single,Male,3,1,2
25,Yes,Research & Development,Healthcare Representative,20000,2,3,No,Technical Degree,1,3,12,0,Divorced,Male,3,2,0
35,Yes,Sales,Manager,52409,2,9,No,Life Sciences,3,3,20,6,Married,Male,3,4,2
29,No,Research & Development,Manufacturing Director,113493,1,2,Yes,Technical Degree,4,3,23,6,Single,Female,3,4,0
48,No,Sales,Manager,60782,2,2,No,Other,1,3,25,7,Single,Female,3,1,3
31,Yes,Human Resources,Human Resources,74027,2,0,No,Human Resources,1,3,27,9,Single,Male,2,1,3
51,No,Research & Development,Research Director,110332,1,4,No,Technical Degree,1,3,29,4,Divorced,Male,1,4,1
35,Yes,Sales,Manager,60670,4,9,Yes,Other,3,3,29,9,Single,Male,4,3,0
51,No,Sales,Manager,87148,3,19,No,Human Resources,2,4,18,8,Divorced,Male,3,1,3
28,No,Research & Development,Research Director,76519,2,6,Yes,Other,4,3,9,8,Divorced,Male,2,1,0
58,No,Research & Development,Manufacturing Director,82504,3,13,No,Life Sciences,3,3,19,7,Married,Female,1,1,2
29,No,Research & Development,Manufacturing Director,75618,4,12,No,Medical,4,4,22,5,Single,Male,1,2,0
32,No,Research & Development,Healthcare Representative,49666,4,1,Yes,Life Sciences,3,3,4,5,Single,Male,1,4,1
48,Yes,Sales,Sales Representative,52461,2,4,No,Technical Degree,1,3,1,0,Married,Male,3,4,1
46,Yes,Research & Development,Manufacturing Director,41071,1,0,No,Human Resources,1,3,9,5,Married,Female,3,4,3
43,No,Sales,Sales Executive,20000,4,8,No,Other,2,4,27,3,Married,Female,4,1,2
35,No,Research & Development,Research Director,99846,3,20,No,Technical Degree,2,3,15,3,Married,Male,3,4,2
49,No,Research & Development,Healthcare Representative,65282,3,1,Yes,Technical Degree,4,3,22,1,Divorced,Male,1,4,0
39,No,Research & Development,Manufacturing Director,98436,3,9,No,Medical,2,3,8,3,Married,Male,1,4,2
55,Yes,Sales,Manager,108830,3,7,Yes,Technical Degree,2,3,15,4,Married,Male,2,2,1
34,No,Sales,Manager,66495,4,6,No,Medical,4,3,15,4,Divorced,Female,2,2,3
40,No,Research & Development,Laboratory Technician,28222,2,3,No,Human Resources,3,3,18,4,Single,Female,4,1,3
41,No,Research & Development,Research Director,59506,2,3,Yes,Human Resources,2,3,7,3,Single,Female,2,4,3
25,No,Research & Development,Laboratory Technician,46207,3,0,No,Other,3,3,22,0,Single,Male,4,1,2
58,Yes,Research & Development,Laboratory Technician,20000,2,1,Yes,Medical,1,3,18,9,Single,Male,2,1,2
23,No,Research & Development,Research Scientist,50951,3,0,No,Life Sciences,2,3,16,7,Married,Female,1,1,1
22,Yes,Sales,Sales Executive,62996,3,6,Yes,Human Resources,1,3,2,2,Married,Male,3,1,0
46,Yes,Research & Development,Research Director,46986,1,0,No,Other,1,4,4,1,Married,Female,3,1,0
45,No,Research & Development,Laboratory Technician,43396,4,14,Yes,Life Sciences,3,3,20,8,Divorced,Male,4,1,3
28,No,Research & Development,Research Scientist,29228,4,5,No,Human Resources,4,3,16,6,Single,Male,3,2,3
18,No,Research & Development,Healthcare Representative,70485,3,8,No,Human Resources,2,4,3,8,Married,Female,3,3,2
36,No,Research & Development,Research Director,117339,4,3,Yes,Other,3,3,24,1,Single,Male,2,2,3
26,No,Research & Development,Laboratory Technician,100801,2,5,No,Other,4,3,23,8,Single,Male,1,1,1
44,No,Research & Development,Manufacturing Director,83301,3,20,No,Marketing,1,3,2,9,Married,Male,3,3,1
51,No,Sales,Manager,83911,1,0,No,Technical Degree,2,3,3,8,Divorced,Female,1,3,3
21,Yes,Sales,Manager,61285,2,2,No,Technical Degree,1,4,26,8,Married,Male,2,4,3
53,No,Sales,Manager,20000,1,10,No,Life Sciences,1,3,25,9,Single,Male,2,1,3
35,Yes,Research & Development,Research Scientist,54655,1,0,No,Technical Degree,2,3,29,9,Married,Female,3,1,3
32,Yes,Sales,Sales Representative,37860,4,0,Yes,Life Sciences,4,3,5,3,Single,Male,3,2,3
30,No,Research & Development,Manufacturing Director,69331,4,3,No,Human Resources,4,3,2,9,Single,Female,2,3,1
36,No,Research & Development,Laboratory Technician,99530,3,0,No,Marketing,2,3,19,2,Married,Male,2,3,0
23,No,Sales,Sales Representative,120255,4,6,No,Marketing,2,3,24,5,Single,Female,4,1,1
29,No,Research & Development,Research Scientist,66809,1,1,Yes,Human Resources,3,3,20,2,Married,Male,4,4,1
54,Yes,Research & Development,Research Director,20000,1,15,No,Other,3,3,2,8,Married,Female,1,1,3
34,No,Sales,Sales Executive,66754,2,10,No,Medical,1,4,2,2,Married,Female,2,3,0
40,No,Sales,Sales Representative,67515,1,8,No,Medical,2,3,22,1,Single,Female,1,4,3
43,No,Sales,Manager,84007,3,6,No,Technical Degree,4,3,24,7,Divorced,Male,2,4,1
46,No,Sales,Manager,64462,3,13,No,Other,1,3,23,5,Married,Male,1,3,0
50,Yes,Research & Development,Manufacturing Director,66862,4,1,No,Life Sciences,1,3,20,7,Married,Female,4,1,2
44,Yes,Research & Development,Manufacturing Director,47302,4,14,No,Marketing,1,3,18,6,Married,Male,2,1,3
42,No,Research & Development,Research Director,56266,4,10,No,Technical Degree,1,3,25,2,Married,Male,2,1,2
27,Yes,Research & Development,Research Scientist,79370,3,9,No,Human Resources,4,3,20,7,Married,Female,1,2,2
40,No,Research & Development,Laboratory Technician,20000,1,5,Yes,Other,1,3,25,9,Married,Male,1,2,2
38,Yes,Sales,Sales Executive,56115,4,1,No,Marketing,2,4,21,0,Single,Female,3,4,2
38,Yes,Research & Development,Laboratory Technician,84261,2,3,Yes,Life Sciences,3,3,14,0,Married,Male,3,1,0
30,No,Research & Development,Laboratory Technician,110940,4,11,No,Life Sciences,4,3,28,9,Divorced,Female,4,2,3
54,No,Research & Development,Research Scientist,53846,3,0,No,Medical,2,3,15,7,Married,Male,2,4,0
50,No,Research & Development,Manufacturing Director,98190,4,10,No,Technical Degree,2,3,12,8,Single,Male,2,3,3
41,Yes,Sales,Sales Representative,112320,1,1,Yes,Human Resources,2,3,11,9,Married,Female,1,3,3
28,Yes,Sales,Sales Executive,54209,4,1,No,Marketing,3,4,11,5,Divorced,Male,4,1,3
34,No,Sales,Sales Representative,49370,3,0,No,Life Sciences,3,3,7,4,Married,Female,2,3,0
21,No,Research & Development,Healthcare Representative,59901,3,0,No,Marketing,3,3,12,1,Single,Female,4,3,1
42,Yes,Research & Development,Manufacturing Director,62705,2,5,No,Human Resources,2,3,16,8,Divorced,Male,3,3,2
47,No,Research & Development,Research Director,95543,3,1,No,Marketing,3,4,5,5,Single,Female,1,4,1
26,No,Sales,Sales Representative,43335,2,31,No,Technical Degree,1,3,2,7,Married,Male,2,3,1
38,No,Research & Development,Healthcare Representative,108065,1,5,No,Medical,3,3,22,8,Married,Female,1,3,1
37,No,Research & Development,Research Director,42578,3,1,No,Marketing,4,3,16,8,Divorced,Male,3,4,2
36,No,Sales,Manager,29596,4,8,No,Other,2,3,23,7,Divorced,Female,4,2,1
36,Yes,Sales,Sales Representative,79665,1,15,Yes,Medical,2,3,15,9,Divorced,Female,4,4,2
29,No,Research & Development,Research Scientist,99455,4,9,Yes,Human Resources,1,3,11,7,Single,Male,3,2,2
54,Yes,Research & Development,Laboratory Technician,70002,4,0,No,Medical,3,3,29,2,Divorced,Female,3,4,2
59,No,Research & Development,Healthcare Representative,77182,4,15,No,Marketing,3,3,6,2,Single,Male,2,1,3
34,No,Research & Development,Research Director,119720,1,11,No,Marketing,4,4,13,1,Single,Male,2,3,3
54,Yes,Research & Development,Laboratory Technician,99850,1,1,No,Other,1,3,19,0,Married,Male,2,2,1
56,No,Research & Development,Research Scientist,65865,3,0,No,Life Sciences,4,4,10,3,Married,Male,2,4,3
45,No,Human Resources,Human Resources,52927,4,5,No,Other,4,3,24,1,Married,Male,2,2,2
58,Yes,Human Resources,Manager,95661,2,1,No,Marketing,2,3,19,1,Married,Male,4,2,3
52,No,Sales,Sales Executive,88219,3,12,No,Medical,2,3,5,4,Divorced,Male,2,3,2
35,No,Research & Development,Research Scientist,76720,1,3,No,Other,3,3,25,3,Single,Male,3,2,0
31,Yes,Sales,Manager,55843,2,17,No,Other,3,3,27,0,Single,Male,3,4,3
52,No,Sales,Sales Representative,62861,1,5,No,Life Sciences,4,3,21,8,Divorced,Female,2,1,1
58,Yes,Sales,Sales Executive,60869,2,1,Yes,Marketing,3,3,7,3,Single,Female,3,1,0
24,No,Research & Development,Manufacturing Director,56309,3,1,No,Marketing,4,3,11,4,Married,Male,1,3,0
58,No,Research & Development,Research Scientist,48167,2,6,No,Human Resources,3,3,14,6,Married,Female,4,4,3
30,No,Sales,Sales Representative,72425,3,10,No,Life Sciences,3,3,23,1,Married,Female,4,4,3
35,No,Sales,Sales Executive,46903,1,10,Yes,Human Resources,2,3,21,7,Married,Female,2,1,1
54,Yes,Research & Development,Healthcare Representative,69966,2,2,No,Human Resources,2,3,16,1,Single,Male,1,4,0
30,Yes,Sales,Manager,20000,4,1,No,Human Resources,2,3,18,9,Divorced,Male,2,2,2
53,Yes,Sales,Manager,48203,4,0,No,Technical Degree,2,4,21,4,Single,Female,2,3,3
48,No,Research & Development,Laboratory Technician,95753,1,7,No,Human Resources,1,4,23,1,Married,Female,3,1,0
19,Yes,Human Resources,Human Resources,39787,2,0,No,Other,2,3,23,1,Single,Male,4,3,0
33,No,Sales,Sales Representative,81578,4,3,No,Medical,1,3,4,3,Married,Male,1,2,2
26,No,Research & Development,Manufacturing Director,42116,3,6,No,Other,2,3,1,3,Married,Female,3,1,0
26,No,Research & Development,Manufacturing Director,86721,2,19,No,Other,3,3,22,7,Divorced,Female,4,4,3
55,No,Sales,Sales Executive,56680,2,2,No,Marketing,4,3,29,5,Married,Female,4,4,2
28,Yes,Research & Development,Research Scientist,55573,4,2,No,Technical Degree,3,3,15,9,Married,Male,2,2,3
39,No,Research & Development,Laboratory Technician,66521,3,7,Yes,Human Resources,3,3,14,7,Divorced,Male,1,1,1
50,No,Research & Development,Healthcare Representative,27384,3,6,No,Marketing,1,3,19,6,Married,Male,2,3,0
53,No,Research & Development,Manufacturing Director,92218,3,2,No,Life Sciences,2,3,27,9,Married,Male,3,1,3
40,No,Research & Development,Laboratory Technician,101496,2,18,Yes,Life Sciences,4,3,5,3,Married,Male,2,4,3
51,No,Sales,Manager,54919,1,13,No,Marketing,4,3,4,1,Married,Female,2,1,1
26,No,Research & Development,Laboratory Technician,79677,2,1,No,Medical,2,3,13,8,Divorced,Male,4,1,0
41,No,Research & Development,Manufacturing Director,86809,2,1,No,Marketing,1,4,18,1,Single,Female,4,4,3
25,No,Sales,Manager,62444,4,5,Yes,Marketing,1,3,12,0,Married,Male,3,4,2
24,Yes,Sales,Sales Executive,33969,1,10,No,Technical Degree,1,3,23,7,Married,Male,4,3,3
53,No,Research & Development,Research Scientist,109634,3,0,Yes,Life Sciences,4,3,21,9,Divorced,Male,4,1,3
35,Yes,Research & Development,Healthcare Representative,54009,4,8,Yes,Life Sciences,1,3,15,8,Divorced,Male,4,4,3
20,Yes,Sales,Manager,47944,2,7,No,Human Resources,1,3,23,0,Married,Female,2,2,3
45,Yes,Research & Development,Research Director,110886,1,1,No,Other,4,3,9,6,Married,Male,1,4,0
23,Yes,Sales,Sales Representative,82081,3,8,No,Marketing,4,3,4,1,Married,Male,3,3,3
38,Yes,Research & Development,Healthcare Representative,72208,3,19,Yes,Marketing,3,4,5,5,Married,Male,2,3,1
45,Yes,Sales,Sales Representative,37818,2,0,No,Medical,4,3,9,4,Divorced,Male,3,2,3
57,Yes,Research & Development,Laboratory Technician,87478,3,2,Yes,Life Sciences,2,4,13,0,Divorced,Female,2,3,2
18,No,Research & Development,Manufacturing Director,146102,3,4,No,Medical,4,3,10,1,Divorced,Male,3,1,2
53,Yes,Research & Development,Research Director,89654,1,16,No,Technical Degree,4,4,27,1,Single,Female,4,3,3
38,Yes,Sales,Sales Executive,78890,4,22,No,Human Resources,1,3,16,9,Divorced,Female,3,2,3
52,Yes,Research & Development,Research Scientist,85190,1,4,Yes,Medical,3,3,13,9,Divorced,Male,1,3,1
30,Yes,Sales,Manager,55812,4,9,No,Life Sciences,1,3,4,5,Married,Male,3,2,1
27,No,Research & Development,Research Scientist,55545,4,5,No,Technical Degree,3,3,21,0,Married,Female,1,3,0
27,No,Research & Development,Research Scientist,55187,4,5,Yes,Marketing,1,3,13,3,Married,Female,3,4,0
30,No,Sales,Manager,48901,3,2,Yes,Technical Degree,2,3,21,9,Married,Male,4,2,2
54,No,Research & Development,Research Scientist,55131,1,1,No,Other,1,4,8,4,Divorced,Male,3,3,3
55,No,Research & Development,Research Director,55000,3,2,No,Medical,1,4,13,1,Married,Male,2,1,3
41,Yes,Research & Development,Manufacturing Director,58148,2,5,No,Life Sciences,2,3,15,1,Married,Male,4,2,1
19,Yes,Research & Development,Research Scientist,57365,1,0,No,Medical,2,3,20,6,Divorced,Male,4,2,1
39,Yes,Sales,Sales Representative,71804,4,16,No,Marketing,4,3,20,6,Married,Male,2,3,0
34,No,Sales,Sales Executive,67206,3,1,No,Marketing,1,3,13,5,Divorced,Male,4,4,0
53,Yes,Research & Development,Research Director,69686,3,1,Yes,Life Sciences,2,3,23,0,Married,Male,4,4,2
31,Yes,Research & Development,Healthcare Representative,107624,1,5,Yes,Other,2,3,27,2,Married,Male,2,3,1
27,Yes,Research & Development,Manufacturing Director,67148,1,8,No,Human Resources,4,4,5,8,Single,Female,4,3,3
52,Yes,Research & Development,Laboratory Technician,126904,4,0,No,Technical Degree,3,3,22,9,Married,Male,4,1,1
42,No,Research & Development,Healthcare Representative,74875,4,2,No,Technical Degree,2,3,22,0,Married,Female,4,3,1
20,No,Research & Development,Research Director,52476,2,24,No,Marketing,2,3,28,1,Divorced,Male,4,2,1
55,No,Research & Development,Manufacturing Director,102788,4,2,No,Medical,1,3,6,7,Single,Female,3,3,0
34,No,Research & Development,Laboratory Technician,62773,3,2,No,Medical,4,3,26,6,Married,Male,4,1,3
29,No,Research & Development,Healthcare Representative,20000,2,12,Yes,Other,1,3,5,8,Single,Female,4,3,3
41,No,Research & Development,Laboratory Technician,64887,2,0,No,Human Resources,3,3,13,9,Married,Male,4,3,0
46,No,Sales,Manager,58023,2,4,No,Medical,4,3,29,3,Divorced,Male,3,2,0
42,Yes,Sales,Sales Representative,109983,1,3,Yes,Technical Degree,1,3,5,3,Married,Female,1,4,3
53,No,Research & Development,Research Scientist,39868,4,2,No,Medical,2,3,25,6,Married,Male,4,3,2
43,No,Research & Development,Healthcare Representative,55685,2,2,No,Human Resources,2,3,13,0,Married,Female,1,1,1
55,Yes,Sales,Sales Representative,100493,1,0,Yes,Technical Degree,4,3,24,9,Single,Male,1,3,3
18,Yes,Sales,Manager,76043,1,2,Yes,Medical,2,3,20,8,Married,Male,2,3,0
37,No,Research & Development,Research Director,60199,2,0,No,Technical Degree,1,3,23,1,Married,Male,2,2,3
45,No,Sales,Sales Representative,43818,2,10,No,Marketing,4,3,8,0,Married,Female,1,4,1
33,No,Sales,Sales Representative,74848,3,3,No,Marketing,2,4,28,6,Divorced,Male,3,4,3
34,Yes,Research & Development,Research Director,64179,2,4,Yes,Other,2,3,9,5,Divorced,Female,4,4,0
57,No,Research & Development,Manufacturing Director,43500,3,15,Yes,Marketing,3,4,21,2,Divorced,Male,4,3,2
45,No,Research & Development,Manufacturing Director,44956,2,7,Yes,Medical,3,3,19,0,Divorced,Female,4,2,0
29,Yes,Sales,Sales Executive,42194,2,0,Yes,Human Resources,4,3,29,4,Divorced,Male,2,2,2
44,No,Research & Development,Research Scientist,37208,4,20,Yes,Technical Degree,3,4,20,9,Married,Male,2,3,1
59,Yes,Sales,Manager,91152,2,1,No,Life Sciences,1,3,15,3,Single,Male,4,2,0
47,No,Research & Development,Laboratory Technician,87383,2,0,No,Marketing,2,3,26,4,Married,Male,1,4,3
58,No,Research & Development,Research Scientist,91198,3,10,No,Marketing,2,3,22,0,Divorced,Male,2,2,0
51,No,Research & Development,Research Director,65125,3,4,Yes,Life Sciences,2,4,10,0,Single,Male,4,3,0
54,No,Research & Development,Research Scientist,58206,4,3,Yes,Life Sciences,4,3,11,4,Single,Male,1,3,1
23,Yes,Research & Development,Research Director,58717,2,2,No,Medical,4,3,5,5,Single,Male,4,1,2
24,Yes,Research & Development,Research Director,93590,2,5,No,Technical Degree,3,3,9,4,Married,Male,2,1,2
49,Yes,Sales,Manager,20000,3,2,No,Marketing,2,4,29,1,Married,Male,3,2,3
49,Yes,Research & Development,Manufacturing Director,50594,1,16,No,Human Resources,2,3,11,8,Married,Male,3,2,0
42,Yes,Sales,Manager,40154,1,1,No,Medical,2,3,27,4,Single,Female,2,3,1
50,No,Sales,Manager,103076,1,15,No,Medical,2,3,19,4,Married,Female,1,1,2
24,No,Human Resources,Manager,51631,3,5,No,Human Resources,2,3,2,9,Married,Male,4,1,3
29,No,Research & Development,Manufacturing Director,20000,3,12,No,Human Resources,1,3,6,8,Single,Female,2,4,2
33,No,Research & Development,Research Director,71255,1,8,No,Other,2,3,29,2,Married,Female,1,4,3
33,Yes,Research & Development,Research Director,54636,1,8,No,Human Resources,1,3,23,4,Married,Male,4,3,2
53,Yes,Research & Development,Research Scientist,49405,2,2,Yes,Life Sciences,2,3,21,4,Married,Male,4,3,3
30,Yes,Research & Development,Research Scientist,46519,3,1,No,Marketing,4,3,1,1,Married,Female,2,3,2
24,No,Research & Development,Manufacturing Director,45414,3,1,No,Other,4,3,3,3,Single,Female,4,3,2
53,No,Research & Development,Research Director,84839,1,13,No,Life Sciences,1,3,3,1,Divorced,Female,3,1,0
26,Yes,Sales,Sales Representative,71266,1,12,No,Other,2,3,28,4,Single,Female,3,3,3
49,No,Research & Development,Laboratory Technician,59456,4,4,No,Marketing,4,3,14,9,Single,Male,4,3,3
28,No,Sales,Manager,34249,3,0,No,Other,4,4,20,1,Divorced,Male,2,1,0
25,Yes,Sales,Sales Executive,60270,4,3,Yes,Life Sciences,2,3,26,9,Married,Male,4,4,0
50,No,Research & Development,Manufacturing Director,72297,2,6,No,Technical Degree,2,3,22,8,Single,Male,2,3,2
40,No,Sales,Sales Representative,73362,4,4,No,Marketing,4,3,5,9,Single,Male,2,4,2
42,No,Research & Development,Research Director,69504,1,10,No,Medical,2,3,17,5,Divorced,Male,3,1,2
25,No,Research & Development,Laboratory Technician,39167,3,40,No,Marketing,3,4,15,7,Married,Male,3,4,0
39,No,Research & Development,Manufacturing Director,20000,3,1,No,Marketing,2,4,6,8,Married,Male,1,1,2
21,No,Research & Development,Research Director,115389,4,4,No,Marketing,4,3,14,7,Married,Male,2,3,0
57,No,Sales,Sales Executive,28330,4,3,Yes,Technical Degree,4,3,14,4,Single,Male,4,4,2
20,Yes,Research & Development,Laboratory Technician,20000,2,2,No,Life Sciences,1,3,25,4,Married,Male,2,3,0
46,Yes,Research & Development,Manufacturing Director,68654,2,1,Yes,Medical,3,3,27,5,Single,Male,3,2,3
58,Yes,Human Resources,Manager,20000,1,0,No,Life Sciences,4,3,17,0,Married,Female,2,2,1
46,No,Human Resources,Human Resources,42465,1,15,Yes,Other,3,3,8,7,Single,Female,1,4,2
51,No,Research & Development,Manufacturing Director,80367,1,3,No,Other,2,3,8,1,Married,Male,4,1,2
51,No,Sales,Sales Representative,114635,4,4,Yes,Other,4,3,19,5,Married,Male,2,4,0
45,Yes,Research & Development,Healthcare Representative,75850,4,17,No,Life Sciences,1,3,29,8,Married,Female,4,1,3
30,No,Research & Development,Research Scientist,52703,3,10,No,Human Resources,4,3,9,2,Single,Male,4,2,3
32,Yes,Sales,Sales Executive,63560,1,0,No,Technical Degree,1,3,11,1,Married,Female,3,1,2
40,No,Sales,Sales Executive,20000,4,5,No,Human Resources,3,3,13,9,Married,Male,2,2,0
43,No,Research & Development,Healthcare Representative,52378,3,4,No,Other,1,3,13,4,Married,Female,4,4,0
21,No,Research & Development,Healthcare Representative,52406,1,11,No,Technical Degree,2,3,27,8,Married,Female,3,3,1
43,Yes,Research & Development,Research Director,69293,2,9,No,Life Sciences,2,3,24,5,Married,Female,1,3,3
57,No,Research & Development,Laboratory Technician,119381,2,8,Yes,Other,2,3,19,7,Married,Male,1,3,1
26,No,Sales,Sales Representative,20000,4,2,No,Life Sciences,4,3,26,7,Married,Female,2,1,3
22,Yes,Research & Development,Healthcare Representative,53585,3,11,Yes,Technical Degree,2,4,21,6,Divorced,Female,4,3,2
49,No,Human Resources,Manager,20000,2,0,Yes,Life Sciences,2,3,19,4,Single,Female,2,1,2
