customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,TechSupport,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST-00018,Female,0,No,Yes,48,Yes,No,Fiber optic,Yes,No,Month-to-month,Yes,Mailed check,69.86,3438.4,No
CUST-00019,Male,0,No,No,11,Yes,Yes,Fiber optic,Yes,No,Month-to-month,Yes,Credit card,56.56,564.94,No
CUST-00020,Male,0,Yes,No,26,No,Yes,Fiber optic,No internet service,Yes,One year,No,Mailed check,74.85,1954.05,No
CUST-00021,Female,0,No,No,9,Yes,No,DSL,No,No,Month-to-month,No,Credit card,35.74,360.35,No
CUST-00022,Male,0,No,Yes,54,Yes,No,Fiber optic,No,No,Month-to-month,Yes,Electronic check,50.67,2732.88,Yes
CUST-00023,Female,0,No,Yes,3,Yes,No,DSL,Yes,No internet service,Month-to-month,Yes,Credit card,18.0,52.39,Yes
CUST-00024,Female,0,No,Yes,56,Yes,No,Fiber optic,No internet service,No,Month-to-month,Yes,Credit card,78.04,4406.38,Yes
CUST-00025,Male,0,Yes,No,29,No,Yes,DSL,No,No internet service,One year,Yes,Credit card,54.87,1618.56,No
CUST-00026,Male,0,Yes,Yes,6,Yes,Yes,DSL,Yes,No,Month-to-month,Yes,Electronic check,83.54,478.79,Yes
CUST-00027,Male,0,No,No,24,Yes,Yes,Fiber optic,No,No,Month-to-month,Yes,Bank transfer,68.59,1672.49,Yes
CUST-00028,Female,1,No,Yes,10,Yes,No,Fiber optic,Yes,No,One year,Yes,Credit card,34.68,333.61,Yes
CUST-00029,Female,0,Yes,No,12,Yes,No,Fiber optic,Yes,No,Month-to-month,Yes,Mailed check,71.01,834.37,No
CUST-00030,Female,0,Yes,No,13,Yes,No,DSL,No,No internet service,One year,Yes,Electronic check,43.6,529.97,No
CUST-00031,Female,0,No,Yes,2,Yes,No,Fiber optic,Yes,Yes,Month-to-month,No,Electronic check,114.66,192.64,Yes
CUST-00032,Male,0,No,Yes,72,No,No,DSL,Yes,No,Month-to-month,Yes,Bank transfer,39.7,2871.34,No
CUST-00033,Male,0,Yes,No,1,Yes,Yes,Fiber optic,No,No,Two year,Yes,Electronic check,50.9,0.0,No
CUST-00034,Male,0,No,No,34,Yes,Yes,Fiber optic,Yes,No,Two year,No,Bank transfer,34.59,1098.15,No
CUST-00035,Female,0,No,Yes,14,Yes,No,Fiber optic,Yes,No,Two year,No,Mailed check,31.99,439.46,No
CUST-00036,Female,0,No,No,33,Yes,No,Fiber optic,No,Yes,Month-to-month,Yes,Electronic check,65.9,2174.89,No
CUST-00037,Male,0,No,No,14,Yes,No,DSL,Yes,No,Month-to-month,Yes,Bank transfer,27.64,334.49,Yes
CUST-00038,Female,0,Yes,No,35,Yes,Yes,Fiber optic,No internet service,Yes,One year,No,Electronic check,59.36,2165.17,No
CUST-00039,Female,0,Yes,No,41,Yes,No,Fiber optic,No,No internet service,Month-to-month,No,Bank transfer,77.9,3156.62,No
CUST-00040,Male,0,Yes,No,37,Yes,No,Fiber optic,Yes,No,Month-to-month,No,Credit card,52.29,1902.0,No
CUST-00041,Male,0,Yes,Yes,3,Yes,No,Fiber optic,Yes,No,Month-to-month,Yes,Bank transfer,18.0,17.11,Yes
CUST-00042,Female,0,Yes,No,34,Yes,Yes,DSL,No internet service,Yes,Month-to-month,Yes,Electronic check,105.02,3618.16,No
CUST-00043,Female,0,Yes,Yes,10,Yes,Yes,Fiber optic,No,Yes,Two year,No,Credit card,73.0,814.8,No
CUST-00044,Male,0,Yes,No,1,Yes,Yes,Fiber optic,No,Yes,Month-to-month,Yes,Mailed check,73.36,25.06,Yes
CUST-00045,Female,0,Yes,No,17,Yes,No,DSL,No,No,One year,Yes,Mailed check,58.04,1028.7,No
CUST-00046,Male,0,Yes,No,18,Yes,No phone service,DSL,No,No,Month-to-month,No,Mailed check,89.33,1621.24,Yes
CUST-00047,Male,0,No,No,20,Yes,Yes,DSL,Yes,No,Month-to-month,Yes,Electronic check,93.14,1824.68,Yes
CUST-00048,Male,0,Yes,No,39,Yes,No,No,No,No internet service,Month-to-month,No,Electronic check,96.14,3762.63,Yes
CUST-00049,Female,0,No,No,11,Yes,Yes,Fiber optic,No,Yes,Month-to-month,No,Credit card,73.06,737.7,Yes
CUST-00050,Male,0,No,No,12,Yes,Yes,DSL,No,Yes,Two year,Yes,Electronic check,23.72,272.13,No
CUST-00051,Male,0,No,No,1,No,Yes,Fiber optic,Yes,No,One year,Yes,Mailed check,77.16,27.09,No
CUST-00052,Male,0,Yes,Yes,37,Yes,No,Fiber optic,Yes,Yes,Two year,No,Bank transfer,73.02,2684.94,No
CUST-00053,Male,1,No,No,26,Yes,Yes,No,No internet service,Yes,Two year,Yes,Electronic check,48.54,1265.48,No
CUST-00054,Female,0,Yes,No,13,Yes,No,DSL,No,No,One year,Yes,Credit card,40.94,606.96,No
CUST-00055,Male,0,Yes,No,39,Yes,No,DSL,Yes,No internet service,Two year,Yes,Credit card,81.29,3172.97,No
CUST-00056,Male,0,Yes,No,24,Yes,No,No,Yes,Yes,Month-to-month,No,Electronic check,62.72,1455.5,No
CUST-00057,Male,1,No,Yes,20,Yes,No,DSL,No,Yes,Month-to-month,No,Bank transfer,53.3,1066.82,Yes
CUST-00058,Female,1,No,No,22,Yes,No,DSL,No,No internet service,Month-to-month,Yes,Mailed check,115.17,2430.05,Yes
CUST-00059,Female,0,Yes,No,32,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,85.15,2767.55,Yes
CUST-00060,Male,0,No,Yes,34,Yes,No,Fiber optic,No internet service,Yes,Month-to-month,No,Mailed check,78.04,2612.81,No
CUST-00061,Male,0,Yes,No,10,Yes,No,DSL,No,Yes,Month-to-month,No,Electronic check,101.55,1110.5,Yes
CUST-00062,Male,0,No,No,4,Yes,Yes,DSL,Yes,No,Two year,No,Bank transfer,74.91,345.35,No
CUST-00063,Male,0,No,No,5,Yes,Yes,DSL,Yes,Yes,Month-to-month,No,Electronic check,43.88,224.8,Yes
CUST-00064,Female,0,No,Yes,32,Yes,No phone service,DSL,No internet service,No,Month-to-month,Yes,Mailed check,53.31,1691.04,Yes
CUST-00065,Male,0,Yes,No,66,Yes,No,No,No internet service,No,Month-to-month,No,Credit card,86.96,5717.86,Yes
CUST-00066,Female,0,No,Yes,16,Yes,Yes,Fiber optic,Yes,No,Month-to-month,Yes,Electronic check,83.75,1321.8,Yes
CUST-00067,Male,0,Yes,No,5,Yes,Yes,Fiber optic,Yes,No,Two year,Yes,Electronic check,78.39,391.6,Yes
CUST-00068,Female,0,No,No,45,Yes,Yes,No,No internet service,No,Month-to-month,No,Electronic check,30.87,1368.92,Yes
CUST-00069,Female,1,No,No,57,No,Yes,Fiber optic,Yes,No internet service,Two year,Yes,Mailed check,89.4,5123.59,No
CUST-00070,Female,0,Yes,Yes,68,Yes,No phone service,DSL,Yes,Yes,One year,Yes,Credit card,63.05,4360.86,No
CUST-00071,Female,0,No,No,29,Yes,No,Fiber optic,No internet service,Yes,Month-to-month,Yes,Mailed check,83.0,2412.16,Yes
CUST-00072,Female,0,Yes,No,63,No,Yes,No,No internet service,No internet service,Month-to-month,Yes,Mailed check,40.1,2581.58,No
CUST-00073,Female,0,Yes,No,1,No,Yes,No,No,Yes,Two year,No,Credit card,120.0,53.83,No
CUST-00074,Male,0,No,Yes,3,Yes,No,DSL,Yes,No internet service,One year,No,Mailed check,72.42,235.09,No
CUST-00075,Female,0,Yes,No,3,Yes,No phone service,Fiber optic,No internet service,No internet service,One year,No,Credit card,52.47,161.7,Yes
CUST-00076,Female,0,No,No,39,Yes,Yes,Fiber optic,No,No,One year,No,Bank transfer,84.39,3221.47,No
CUST-00077,Male,0,Yes,Yes,2,Yes,No,No,Yes,No,Month-to-month,Yes,Credit card,90.74,168.72,No
CUST-00078,Female,0,Yes,Yes,21,Yes,No phone service,DSL,No,Yes,Month-to-month,Yes,Bank transfer,84.02,1807.2,Yes
CUST-00079,Male,1,No,No,20,Yes,No,Fiber optic,No internet service,No,Month-to-month,No,Credit card,35.16,568.67,Yes
CUST-00080,Female,0,Yes,No,11,Yes,No,No,Yes,No internet service,Two year,No,Mailed check,99.28,1082.09,No
CUST-00081,Female,0,Yes,No,65,Yes,No,Fiber optic,No,Yes,One year,Yes,Bank transfer,54.65,3529.6,No
CUST-00082,Female,0,Yes,No,5,Yes,Yes,Fiber optic,No,No,Month-to-month,No,Electronic check,64.52,336.06,Yes
CUST-00083,Male,1,Yes,No,13,Yes,Yes,DSL,No internet service,No internet service,Month-to-month,Yes,Credit card,18.0,279.31,Yes
CUST-00084,Female,0,No,No,47,No,No,DSL,No,No internet service,Month-to-month,No,Electronic check,51.08,2435.71,No
CUST-00085,Female,0,No,Yes,1,Yes,No phone service,DSL,No internet service,No internet service,Month-to-month,Yes,Bank transfer,50.89,99.48,Yes
CUST-00086,Male,0,No,No,35,Yes,No,No,No,No,One year,Yes,Mailed check,78.52,2807.24,No
CUST-00087,Female,0,Yes,No,54,Yes,Yes,DSL,No,Yes,One year,No,Credit card,49.25,2641.33,No
CUST-00088,Female,1,Yes,No,72,Yes,No,Fiber optic,Yes,No,Two year,Yes,Electronic check,18.0,1174.63,No
CUST-00089,Female,0,No,No,66,Yes,No,Fiber optic,No internet service,No,Month-to-month,Yes,Credit card,72.32,4806.74,Yes
CUST-00090,Male,0,No,Yes,12,No,Yes,DSL,No,Yes,Month-to-month,Yes,Bank transfer,57.49,639.48,Yes
CUST-00091,Female,0,No,No,28,Yes,Yes,Fiber optic,No,No internet service,One year,Yes,Credit card,43.14,1222.04,No
CUST-00092,Female,0,Yes,No,2,Yes,No,Fiber optic,No,No internet service,One year,No,Mailed check,67.63,64.4,Yes
CUST-00093,Female,0,No,Yes,9,Yes,Yes,No,No,No,One year,Yes,Mailed check,18.0,124.94,Yes
CUST-00094,Female,0,Yes,Yes,3,Yes,Yes,Fiber optic,No,No,One year,No,Mailed check,83.61,279.83,No
CUST-00095,Male,0,Yes,No,12,Yes,Yes,Fiber optic,No,No,Month-to-month,Yes,Electronic check,59.52,692.04,Yes
CUST-00096,Female,0,No,No,66,Yes,No,DSL,No,Yes,Month-to-month,No,Electronic check,56.98,3677.2,Yes
CUST-00097,Female,0,Yes,No,13,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,93.58,1148.81,Yes
CUST-00098,Male,0,No,No,26,Yes,No,DSL,No,No,Month-to-month,Yes,Bank transfer,48.93,1328.56,No
CUST-00099,Female,1,No,No,18,Yes,Yes,Fiber optic,No,No internet service,Month-to-month,Yes,Electronic check,72.76,1292.02,No
CUST-00100,Male,0,Yes,No,19,Yes,Yes,DSL,No internet service,No,Month-to-month,Yes,Electronic check,61.11,1144.57,No
CUST-00101,Male,0,Yes,Yes,72,Yes,Yes,No,No,No internet service,One year,No,Credit card,120.0,8609.45,No
CUST-00102,Male,0,No,Yes,11,Yes,Yes,Fiber optic,No,Yes,Month-to-month,No,Electronic check,79.65,800.17,Yes
CUST-00103,Male,0,No,No,31,Yes,Yes,Fiber optic,No,No,Month-to-month,No,Electronic check,30.76,940.17,Yes
CUST-00104,Female,1,No,No,17,Yes,Yes,DSL,No,No internet service,Two year,No,Electronic check,117.57,2060.54,No
CUST-00105,Female,1,No,No,2,Yes,No,Fiber optic,No internet service,No,Month-to-month,Yes,Bank transfer,96.29,153.67,Yes
CUST-00106,Female,0,No,No,21,Yes,No,Fiber optic,No,No,Month-to-month,Yes,Credit card,66.35,1298.93,No
CUST-00107,Female,0,No,Yes,53,Yes,Yes,Fiber optic,No,Yes,One year,Yes,Credit card,51.88,2788.36,No
CUST-00108,Male,1,Yes,No,3,Yes,Yes,DSL,No,Yes,Month-to-month,Yes,Credit card,25.21,79.84,Yes
CUST-00109,Female,0,Yes,No,2,Yes,Yes,No,No,Yes,Month-to-month,Yes,Mailed check,77.92,165.34,Yes
CUST-00110,Male,0,Yes,Yes,5,Yes,Yes,No,No,No,Month-to-month,No,Mailed check,44.75,242.68,No
CUST-00111,Female,1,No,No,46,Yes,Yes,DSL,No,No,Month-to-month,Yes,Bank transfer,38.6,1688.37,Yes
CUST-00112,Female,0,Yes,No,41,No,Yes,No,Yes,No internet service,Two year,No,Credit card,88.26,3612.99,Yes
CUST-00113,Male,0,No,Yes,26,Yes,No,Fiber optic,No internet service,Yes,Two year,No,Credit card,111.35,2907.22,No
CUST-00114,Female,0,No,No,20,Yes,No,Fiber optic,No internet service,No,One year,Yes,Mailed check,50.71,1012.05,No
CUST-00115,Female,0,Yes,No,70,Yes,No,DSL,No internet service,No,Two year,No,Mailed check,89.18,6240.09,No
CUST-00116,Male,0,Yes,No,46,Yes,Yes,Fiber optic,No,No,Two year,No,Electronic check,71.37,3340.87,No
CUST-00117,Female,0,No,No,53,Yes,No,Fiber optic,No,No,Month-to-month,No,Electronic check,75.76,4037.28,No
CUST-00118,Female,0,Yes,No,53,Yes,No,Fiber optic,No internet service,No,Two year,Yes,Electronic check,40.44,2174.74,Yes
CUST-00119,Female,0,No,No,32,Yes,No phone service,Fiber optic,No,No,Month-to-month,Yes,Electronic check,58.63,1868.31,No
CUST-00120,Male,0,Yes,No,19,Yes,Yes,Fiber optic,No internet service,Yes,Two year,No,Bank transfer,32.1,481.94,No
CUST-00121,Female,1,Yes,No,64,Yes,No,Fiber optic,Yes,No,Two year,No,Bank transfer,28.32,1796.2,No
CUST-00122,Male,0,Yes,No,72,Yes,Yes,DSL,No internet service,No internet service,Month-to-month,No,Credit card,80.55,5798.38,No
CUST-00123,Male,0,Yes,Yes,1,Yes,No,No,No,No internet service,Month-to-month,Yes,Mailed check,49.27,39.58,No
CUST-00124,Female,0,Yes,Yes,1,Yes,Yes,Fiber optic,No,Yes,Month-to-month,Yes,Mailed check,37.55,33.8,Yes
CUST-00125,Female,0,Yes,No,72,Yes,Yes,DSL,Yes,No,Month-to-month,No,Bank transfer,28.71,2077.8,No
CUST-00126,Male,1,Yes,No,10,Yes,No phone service,DSL,No internet service,No,Two year,Yes,Mailed check,19.59,243.39,No
CUST-00127,Female,0,No,No,66,Yes,No,Fiber optic,Yes,No,Two year,Yes,Electronic check,18.0,1145.13,No
CUST-00128,Female,0,Yes,No,15,No,No phone service,No,No,Yes,Month-to-month,Yes,Electronic check,68.33,1014.68,Yes
CUST-00129,Male,0,No,Yes,4,Yes,No,Fiber optic,No,No,Month-to-month,Yes,Bank transfer,18.0,148.85,Yes
CUST-00130,Female,0,No,No,2,Yes,No,Fiber optic,Yes,No,Month-to-month,No,Credit card,79.14,77.22,No
CUST-00131,Female,0,Yes,No,5,Yes,No,DSL,No,No,Month-to-month,No,Bank transfer,78.93,380.79,Yes
CUST-00132,Male,0,No,No,9,Yes,No,Fiber optic,No internet service,No internet service,Month-to-month,No,Electronic check,62.03,449.16,Yes
CUST-00133,Male,0,Yes,No,21,Yes,No,No,Yes,Yes,Month-to-month,No,Electronic check,67.22,1398.71,No
CUST-00134,Female,0,Yes,No,38,Yes,Yes,Fiber optic,No,No,Two year,Yes,Credit card,56.44,2149.81,No
CUST-00135,Female,0,Yes,No,72,Yes,Yes,DSL,No,No internet service,Month-to-month,No,Bank transfer,71.76,5075.87,Yes
CUST-00136,Male,0,No,No,18,Yes,Yes,Fiber optic,No,No internet service,Month-to-month,Yes,Bank transfer,71.41,1295.87,Yes
CUST-00137,Female,0,Yes,No,23,Yes,Yes,DSL,No internet service,No,One year,No,Credit card,104.05,2359.25,Yes
CUST-00138,Male,0,No,No,23,Yes,No,Fiber optic,No,No,Month-to-month,No,Credit card,110.98,2606.53,Yes
CUST-00139,Female,0,No,Yes,24,Yes,No,No,No internet service,No internet service,Two year,Yes,Mailed check,110.07,2665.44,No
CUST-00140,Female,1,Yes,No,23,Yes,Yes,Fiber optic,No,Yes,Two year,Yes,Mailed check,41.07,917.5,No
CUST-00141,Male,0,Yes,Yes,1,Yes,No,DSL,Yes,No,Month-to-month,No,Electronic check,87.73,77.33,Yes
CUST-00142,Female,0,Yes,No,1,Yes,Yes,No,No,Yes,Month-to-month,Yes,Credit card,80.18,157.7,Yes
CUST-00143,Male,0,No,No,3,Yes,No,Fiber optic,No internet service,No,Month-to-month,Yes,Electronic check,45.53,130.83,Yes
CUST-00144,Female,0,No,Yes,3,Yes,No,Fiber optic,No,No internet service,Month-to-month,Yes,Mailed check,38.41,47.95,No
CUST-00145,Female,0,Yes,No,39,Yes,No,Fiber optic,Yes,Yes,Month-to-month,No,Bank transfer,53.7,2037.19,Yes
CUST-00146,Male,1,No,No,7,Yes,Yes,Fiber optic,No,No internet service,One year,Yes,Credit card,33.17,222.78,No
CUST-00147,Male,1,Yes,No,72,Yes,No,Fiber optic,Yes,Yes,Month-to-month,No,Mailed check,23.32,1735.29,Yes
CUST-00148,Male,0,Yes,No,72,Yes,No,Fiber optic,No,Yes,Month-to-month,Yes,Bank transfer,79.92,5729.73,Yes
CUST-00149,Male,0,No,No,72,Yes,No phone service,Fiber optic,Yes,No internet service,Month-to-month,Yes,Credit card,65.98,4695.84,No
CUST-00150,Female,0,No,Yes,72,Yes,No,DSL,No,Yes,Two year,Yes,Bank transfer,65.83,4740.21,No
CUST-00151,Male,0,No,Yes,10,Yes,No,No,No internet service,No,Month-to-month,Yes,Mailed check,92.8,944.37,No
CUST-00152,Male,0,Yes,No,22,Yes,No,Fiber optic,Yes,No,Month-to-month,No,Bank transfer,59.12,1326.44,No
CUST-00153,Male,0,No,No,6,Yes,Yes,DSL,No internet service,Yes,Month-to-month,Yes,Credit card,89.91,454.41,Yes
CUST-00154,Male,0,No,Yes,52,Yes,No,Fiber optic,Yes,No,Two year,Yes,Electronic check,42.83,2242.95,No
CUST-00155,Female,1,Yes,No,70,Yes,Yes,No,No,Yes,Month-to-month,Yes,Bank transfer,42.64,2997.81,No
CUST-00156,Male,0,No,Yes,60,Yes,No,No,Yes,No,One year,Yes,Electronic check,65.42,3903.18,No
CUST-00157,Male,0,No,Yes,18,Yes,No,Fiber optic,Yes,No internet service,One year,Yes,Bank transfer,120.0,2216.8,No
CUST-00158,Female,0,No,No,45,Yes,No,DSL,No,No internet service,Month-to-month,Yes,Credit card,103.56,4682.82,Yes
CUST-00159,Female,0,No,No,3,Yes,Yes,Fiber optic,No,No internet service,One year,Yes,Bank transfer,97.94,250.97,Yes
CUST-00160,Male,0,No,No,1,Yes,No,DSL,No,No,Month-to-month,Yes,Mailed check,23.84,47.3,No
CUST-00161,Female,0,Yes,No,44,Yes,Yes,No,Yes,No,One year,Yes,Bank transfer,69.35,2957.03,Yes
CUST-00162,Female,0,Yes,No,17,Yes,No,DSL,No,No internet service,One year,Yes,Electronic check,89.63,1499.83,Yes
CUST-00163,Male,0,Yes,No,72,Yes,Yes,DSL,Yes,No internet service,Month-to-month,Yes,Bank transfer,120.0,8619.53,Yes
CUST-00164,Male,0,Yes,No,3,Yes,Yes,Fiber optic,No,Yes,Month-to-month,Yes,Electronic check,18.0,87.05,Yes
CUST-00165,Male,0,Yes,No,61,Yes,Yes,Fiber optic,No,No,Two year,Yes,Bank transfer,86.93,5454.72,Yes
CUST-00166,Male,0,No,No,20,No,Yes,No,No internet service,Yes,Month-to-month,No,Electronic check,96.93,1923.93,Yes
CUST-00167,Male,0,No,No,56,Yes,Yes,Fiber optic,No,Yes,Month-to-month,No,Electronic check,78.55,4472.05,No
CUST-00168,Female,0,Yes,No,54,Yes,Yes,DSL,Yes,No,Month-to-month,Yes,Mailed check,24.49,1390.35,Yes
CUST-00169,Male,0,No,Yes,72,Yes,Yes,DSL,No internet service,No,One year,No,Mailed check,72.6,5160.71,No
CUST-00170,Female,0,No,No,11,Yes,No,Fiber optic,Yes,Yes,One year,No,Mailed check,77.86,923.42,Yes
CUST-00171,Female,0,No,Yes,72,Yes,Yes,DSL,No,Yes,Month-to-month,Yes,Bank transfer,70.33,5028.52,Yes
CUST-00172,Female,0,Yes,No,5,Yes,No,Fiber optic,Yes,No,Month-to-month,Yes,Electronic check,44.45,222.71,Yes
CUST-00173,Male,0,Yes,Yes,2,Yes,Yes,Fiber optic,No,Yes,Month-to-month,Yes,Electronic check,40.73,196.29,Yes
CUST-00174,Female,0,No,No,18,Yes,No,Fiber optic,No,No,One year,No,Electronic check,78.68,1442.08,No
CUST-00175,Male,0,Yes,No,56,Yes,No,No,No,No internet service,Month-to-month,Yes,Mailed check,44.71,2471.61,No
CUST-00176,Male,0,Yes,No,20,Yes,No,No,No,No,One year,No,Bank transfer,45.39,930.07,No
CUST-00177,Male,0,No,No,56,Yes,No,No,No internet service,No,Month-to-month,Yes,Mailed check,60.81,3328.9,No
CUST-00178,Female,1,Yes,Yes,41,Yes,No,DSL,Yes,No,Two year,Yes,Mailed check,69.79,2914.49,No
CUST-00179,Female,1,No,No,7,Yes,Yes,DSL,No,No internet service,Month-to-month,Yes,Mailed check,96.16,640.94,Yes
CUST-00180,Female,1,Yes,No,72,Yes,No,DSL,Yes,No internet service,Month-to-month,Yes,Electronic check,29.12,1973.69,No
CUST-00181,Male,0,No,Yes,2,Yes,No,No,No internet service,No,Month-to-month,No,Bank transfer,26.15,34.29,Yes
CUST-00182,Female,1,No,No,72,Yes,No phone service,No,No internet service,No,Two year,Yes,Electronic check,53.54,3829.17,No
CUST-00183,Female,0,Yes,Yes,11,Yes,Yes,No,Yes,No internet service,Two year,Yes,Bank transfer,18.0,222.94,No
CUST-00184,Male,0,No,No,22,Yes,Yes,DSL,No,No,Month-to-month,Yes,Mailed check,82.6,1759.53,No
CUST-00185,Male,0,No,No,17,Yes,No,No,No,No,One year,Yes,Bank transfer,18.0,323.43,No
CUST-00186,Male,0,Yes,No,6,Yes,No phone service,Fiber optic,No,No,Two year,Yes,Credit card,86.22,483.29,No
CUST-00187,Female,0,No,No,14,Yes,Yes,DSL,No,Yes,One year,No,Credit card,98.27,1372.26,Yes
CUST-00188,Male,1,Yes,Yes,6,No,Yes,Fiber optic,No,No internet service,Month-to-month,Yes,Credit card,72.79,490.06,No
CUST-00189,Female,1,Yes,Yes,7,Yes,Yes,DSL,Yes,No internet service,Month-to-month,No,Mailed check,18.0,180.95,No
CUST-00190,Male,1,Yes,No,6,Yes,Yes,Fiber optic,Yes,No,Month-to-month,Yes,Mailed check,68.18,472.86,Yes
CUST-00191,Female,1,Yes,No,21,Yes,Yes,DSL,No,No internet service,Two year,No,Electronic check,41.1,825.02,No
CUST-00192,Female,0,Yes,No,51,Yes,No,Fiber optic,No internet service,No internet service,Two year,Yes,Electronic check,28.94,1490.8,No
CUST-00193,Female,0,No,No,26,Yes,Yes,Fiber optic,No internet service,No internet service,One year,Yes,Mailed check,82.38,2158.89,No
CUST-00194,Female,1,No,Yes,71,Yes,No,No,No,No internet service,Month-to-month,Yes,Credit card,88.01,6311.33,Yes
CUST-00195,Male,0,Yes,No,32,Yes,Yes,Fiber optic,No internet service,Yes,Month-to-month,No,Bank transfer,103.57,3297.85,Yes
CUST-00196,Female,0,No,Yes,37,No,No,Fiber optic,Yes,Yes,One year,No,Mailed check,56.46,2014.57,Yes
CUST-00197,Female,0,Yes,No,35,Yes,No,No,No,Yes,Two year,Yes,Electronic check,70.16,2498.05,No
CUST-00198,Male,1,No,No,19,Yes,No,No,No,Yes,Two year,No,Electronic check,114.96,2251.29,No
CUST-00199,Male,0,Yes,No,37,Yes,No,DSL,No,No,One year,No,Electronic check,120.0,4455.86,No
CUST-00200,Male,0,No,No,2,Yes,No phone service,Fiber optic,No internet service,No,One year,Yes,Mailed check,97.41,140.18,No
CUST-00201,Female,0,No,No,62,Yes,Yes,DSL,No,No,Month-to-month,No,Bank transfer,54.5,3487.28,No
CUST-00202,Female,0,No,No,48,Yes,No,DSL,No,No,Month-to-month,No,Mailed check,65.22,3136.57,Yes
CUST-00203,Male,0,No,No,9,Yes,Yes,Fiber optic,No,Yes,Two year,Yes,Electronic check,59.65,503.86,No
CUST-00204,Male,0,No,No,46,No,No,No,No internet service,Yes,One year,Yes,Electronic check,86.17,4018.69,No
CUST-00205,Male,0,Yes,No,1,Yes,Yes,DSL,No,No,Month-to-month,Yes,Electronic check,40.41,123.65,No
CUST-00206,Female,0,No,No,7,Yes,Yes,No,No,No internet service,Month-to-month,Yes,Mailed check,74.64,442.15,Yes
CUST-00207,Female,1,No,No,2,Yes,No,No,No,No internet service,One year,Yes,Electronic check,74.79,176.46,No
CUST-00208,Male,0,Yes,Yes,48,Yes,No phone service,No,No,Yes,Month-to-month,Yes,Electronic check,76.51,3737.35,No
CUST-00209,Female,0,No,Yes,45,Yes,Yes,DSL,No,No,Month-to-month,Yes,Mailed check,34.33,1539.65,No
CUST-00210,Female,0,No,Yes,53,No,No,No,No,No internet service,Month-to-month,Yes,Mailed check,72.42,3845.66,Yes
CUST-00211,Male,0,Yes,No,1,Yes,No,DSL,Yes,No,One year,Yes,Electronic check,118.08,111.6,No
CUST-00212,Female,0,No,No,22,Yes,Yes,Fiber optic,No,No,One year,Yes,Electronic check,51.29,1205.14,No
CUST-00213,Female,0,No,No,39,Yes,Yes,DSL,No,No internet service,Month-to-month,No,Electronic check,72.79,2783.63,Yes
CUST-00214,Male,0,Yes,No,5,Yes,No,DSL,Yes,Yes,One year,No,Electronic check,18.0,77.12,Yes
