location,date,new_cases,new_deaths,total_cases,people_vaccinated_per_hundred
United States,2022-04-21,51898,405,34848678,70.25925768384722
United States,2022-04-22,49329,644,34898007,67.57974408414503
United States,2022-04-23,45234,394,34943241,69.23465476661757
United States,2022-04-24,40613,581,34983854,71.32387463549355
United States,2022-04-25,40376,505,35024230,71.19755370397438
United States,2022-04-26,37303,523,35061533,69.52324611194493
United States,2022-04-27,42005,344,35103538,69.04200768326552
United States,2022-04-28,33039,168,35136577,70.70794942213571
United States,2022-04-29,32754,475,35169331,68.73971389126463
United States,2022-04-30,36672,347,35206003,71.13045416509384
United States,2022-05-01,36917,432,35242920,69.57162277442454
United States,2022-05-02,53876,694,35296796,73.33411220693958
United States,2022-05-03,52770,294,35349566,70.20549125702834
United States,2022-05-04,42458,589,35392024,75.54086303313343
United States,2022-05-05,55540,357,35447564,71.35722831669402
United States,2022-05-06,69674,418,35517238,74.71576157619998
United States,2022-05-07,70860,405,35588098,70.98611364925775
United States,2022-05-08,76596,445,35664694,73.74508318286095
United States,2022-05-09,65696,862,35730390,69.1850724512469
United States,2022-05-10,74117,432,35804507,74.72022273249634
United States,2022-05-11,83529,771,35888036,74.9507124338991
United States,2022-05-12,81375,788,35969411,71.99087434201941
United States,2022-05-13,87533,1090,36056944,70.34553811289535
United States,2022-05-14,90063,787,36147007,72.17774601226348
United States,2022-05-15,92351,668,36239358,71.19755905622833
United States,2022-05-16,88433,1320,36327791,73.96700861271692
United States,2022-05-17,88631,1302,36416422,70.45398043228907
United States,2022-05-18,103513,1237,36519935,72.81245337009986
United States,2022-05-19,101753,1103,36621688,70.4653048742239
United States,2022-05-20,84480,946,36706168,73.95261825296221
United States,2022-05-21,77591,747,36783759,70.80121470911196
United States,2022-05-22,88609,511,36872368,68.37973735000797
United States,2022-05-23,81200,657,36953568,75.75234167843178
United States,2022-05-24,79913,529,37033481,73.94104764002643
United States,2022-05-25,63365,907,37096846,75.6629175317087
United States,2022-05-26,68617,899,37165463,71.43555762202558
United States,2022-05-27,53292,783,37218755,74.70774474833082
United States,2022-05-28,63292,613,37282047,72.55744606994132
United States,2022-05-29,45947,255,37327994,70.80124995409246
United States,2022-05-30,54683,820,37382677,72.60469658066329
United States,2022-05-31,48488,615,37431165,72.09396118752949
United States,2022-06-01,52245,328,37483410,71.80175305492503
United States,2022-06-02,61807,450,37545217,76.0288776681175
United States,2022-06-03,75767,650,37620984,78.08274199383636
United States,2022-06-04,74920,764,37695904,73.50302692688689
United States,2022-06-05,78381,1059,37774285,78.10252570946594
United States,2022-06-06,100634,1385,37874919,78.5106816848864
United States,2022-06-07,78348,414,37953267,74.4618111241421
United States,2022-06-08,97481,1173,38050748,77.73726311506469
United States,2022-06-09,92056,473,38142804,74.3153827227512
United States,2022-06-10,108810,970,38251614,71.48252102715377
United States,2022-06-11,110428,936,38362042,74.72584435791629
United States,2022-06-12,118465,1062,38480507,75.14818956083955
United States,2022-06-13,115945,1680,38596452,75.66140111412787
United States,2022-06-14,93808,899,38690260,74.88890460220676
United States,2022-06-15,109644,908,38799904,75.80623865417115
United States,2022-06-16,98520,567,38898424,76.33934509766007
United States,2022-06-17,100007,845,38998431,75.97534654984659
United States,2022-06-18,108246,1263,39106677,76.91028464100248
United States,2022-06-19,103377,559,39210054,74.0486573040628
United States,2022-06-20,100578,680,39310632,73.4142543354753
United States,2022-06-21,90011,777,39400643,74.61693435217342
United States,2022-06-22,116785,629,39517428,75.07052710394346
United States,2022-06-23,100401,584,39617829,77.40927014515165
United States,2022-06-24,90813,1186,39708642,74.55806080093356
United States,2022-06-25,80847,573,39789489,76.15900880309971
United States,2022-06-26,80079,895,39869568,70.39615767052884
United States,2022-06-27,71857,896,39941425,70.61573988751604
United States,2022-06-28,77069,779,40018494,75.62250030908707
United States,2022-06-29,57879,548,40076373,75.15896490363508
United States,2022-06-30,46612,358,40122985,75.40692727173445
United States,2022-07-01,60145,494,40183130,77.90441824525293
United States,2022-07-02,61858,383,40244988,75.83690399277121
United States,2022-07-03,76645,903,40321633,79.82112824474216
United States,2022-07-04,80481,472,40402114,80.95988827778005
United States,2022-07-05,110003,1370,40512117,80.0290653853746
United States,2022-07-06,81799,641,40593916,77.61932264383279
United States,2022-07-07,111264,1191,40705180,75.3807014199762
United States,2022-07-08,88511,532,40793691,79.12593847338114
United States,2022-07-09,102392,676,40896083,76.7480141394912
United States,2022-07-10,105151,708,41001234,76.27201846064037
United States,2022-07-11,89788,1330,41091022,79.36928440311034
United States,2022-07-12,115293,1694,41206315,76.18487267591681
United States,2022-07-13,122494,928,41328809,78.54715480627726
United States,2022-07-14,126989,1815,41455798,76.0448895104029
United States,2022-07-15,143554,1119,41599352,81.23922431087462
United States,2022-07-16,117347,966,41716699,79.14119733718631
United States,2022-07-17,126695,940,41843394,72.5180903110806
United States,2022-07-18,125861,992,41969255,76.19136674979119
United States,2022-07-19,110720,1086,42079975,78.53548533140652
United States,2022-07-20,113674,951,42193649,78.09479734263283
United States,2022-07-21,111692,1319,42305341,79.52050218927072
United States,2022-07-22,119871,1164,42425212,80.88313724131581
United States,2022-07-23,93467,1336,42518679,75.93474186193141
United States,2022-07-24,110618,1591,42629297,76.79202962656836
United States,2022-07-25,107226,1438,42736523,81.1602681901504
United States,2022-07-26,100767,707,42837290,77.17624606775506
United States,2022-07-27,88929,1169,42926219,77.36188595786732
United States,2022-07-28,89324,767,43015543,82.15080159729088
United States,2022-07-29,77880,1025,43093423,79.89523387532282
United States,2022-07-30,54262,522,43147685,75.98382737816519
United States,2022-07-31,78704,789,43226389,76.31291007550905
United States,2022-08-01,50510,446,43276899,80.56179894238227
United States,2022-08-02,59709,671,43336608,81.19124089177879
United States,2022-08-03,46306,296,43382914,83.28750808641385
United States,2022-08-04,66281,684,43449195,83.49465411046344
United States,2022-08-05,68325,445,43517520,81.49644117260067
United States,2022-08-06,62912,782,43580432,79.36599712147822
United States,2022-08-07,75970,959,43656402,80.04468510646977
United States,2022-08-08,76596,1012,43732998,82.65827736917053
United States,2022-08-09,80717,1047,43813715,79.04247256843539
United States,2022-08-10,82674,1010,43896389,79.894708453306
United States,2022-08-11,95413,1139,43991802,83.71127571760991
United States,2022-08-12,78559,664,44070361,81.5619286418364
United States,2022-08-13,79351,763,44149712,83.99208862297837
United States,2022-08-14,95854,1065,44245566,86.28714316679711
United States,2022-08-15,96286,1152,44341852,82.45153324779739
United States,2022-08-16,97603,636,44439455,81.88423333062694
United States,2022-08-17,110392,1020,44549847,83.69084009230995
United States,2022-08-18,96858,1380,44646705,81.2001908851594
United States,2022-08-19,86867,1289,44733572,80.7484261598007
United States,2022-08-20,112509,1011,44846081,82.04790533421559
United States,2022-08-21,89881,1171,44935962,80.14623786010516
United States,2022-08-22,95280,1352,45031242,76.35852525204373
United States,2022-08-23,76050,941,45107292,78.40984245587276
United States,2022-08-24,71248,678,45178540,80.47852967021636
United States,2022-08-25,77378,772,45255918,80.45455286050466
United States,2022-08-26,81598,703,45337516,80.6855722132711
United States,2022-08-27,85494,438,45423010,83.25313005909551
United States,2022-08-28,59117,863,45482127,82.03333861729625
United States,2022-08-29,60304,352,45542431,78.78694818251665
United States,2022-08-30,57667,631,45600098,81.31651196190674
United States,2022-08-31,52963,375,45653061,80.95174982578
United States,2022-09-01,22086,152,45675147,84.31007324719104
United States,2022-09-02,24733,263,45699880,82.91315045773247
United States,2022-09-03,32176,302,45732056,78.68129728590125
United States,2022-09-04,33938,222,45765994,79.8532195351837
United States,2022-09-05,32695,472,45798689,83.49035746325526
United States,2022-09-06,28682,328,45827371,82.44436662481824
United States,2022-09-07,34422,225,45861793,83.86082035417398
United States,2022-09-08,40923,215,45902716,86.54311018998831
United States,2022-09-09,36684,429,45939400,82.54336970010422
United States,2022-09-10,38814,447,45978214,84.97874912245584
United States,2022-09-11,40723,302,46018937,83.54156789689281
United States,2022-09-12,45614,606,46064551,84.88852662297208
United States,2022-09-13,49825,351,46114376,81.98582127138748
United States,2022-09-14,46643,239,46161019,83.38090712137202
United States,2022-09-15,38865,541,46199884,87.52937386852544
United States,2022-09-16,43118,327,46243002,86.09801845167378
United States,2022-09-17,49613,381,46292615,80.49378590612356
United States,2022-09-18,39898,419,46332513,87.50958836396873
United States,2022-09-19,37586,544,46370099,82.91015553008218
United States,2022-09-20,41093,562,46411192,84.79827222870414
United States,2022-09-21,45484,591,46456676,83.93808349872685
United States,2022-09-22,39393,302,46496069,83.88610875255786
United States,2022-09-23,46979,356,46543048,85.34451456882755
United States,2022-09-24,38170,566,46581218,83.63203332729464
United States,2022-09-25,31086,240,46612304,84.2016348445081
United States,2022-09-26,34455,266,46646759,82.04325444476994
United States,2022-09-27,38871,516,46685630,85.4351831595861
United States,2022-09-28,30374,334,46716004,85.96538196789103
United States,2022-09-29,23564,333,46739568,85.02059277916464
United States,2022-09-30,18224,185,46757792,81.4408460665286
United States,2022-10-01,17942,197,46775734,87.39711672579259
United States,2022-10-02,19063,150,46794797,84.18667780630355
United States,2022-10-03,26902,214,46821699,85.23244442227146
United States,2022-10-04,21801,253,46843500,92.26476412967479
United States,2022-10-05,26782,191,46870282,87.35807359309793
United States,2022-10-06,26470,263,46896752,87.24401962929072
United States,2022-10-07,24717,314,46921469,88.97424440025742
United States,2022-10-08,31269,371,46952738,90.54160127127102
United States,2022-10-09,28034,369,46980772,86.19923727963337
United States,2022-10-10,35947,277,47016719,88.94510889925346
United States,2022-10-11,29765,176,47046484,89.28827040523284
United States,2022-10-12,35832,245,47082316,88.24134419510136
United States,2022-10-13,40053,493,47122369,87.23921133777414
United States,2022-10-14,39095,466,47161464,89.16156145110925
United States,2022-10-15,36401,360,47197865,88.26588326758693
United States,2022-10-16,39281,267,47237146,87.41537537432622
United States,2022-10-17,40463,216,47277609,87.267695308492
United States,2022-10-18,34494,491,47312103,89.10630570666581
United States,2022-10-19,40825,548,47352928,86.83916845258202
United States,2022-10-20,39669,213,47392597,85.96791054356525
United States,2022-10-21,31786,197,47424383,88.00206668703468
United States,2022-10-22,35799,300,47460182,86.04250275667304
United States,2022-10-23,33231,270,47493413,87.26996944163938
United States,2022-10-24,37169,304,47530582,87.39310955302315
United States,2022-10-25,34014,379,47564596,87.56606441079043
United States,2022-10-26,30104,433,47594700,89.1309607501307
United States,2022-10-27,31939,288,47626639,85.63313641973976
United States,2022-10-28,33481,459,47660120,86.27432287912069
United States,2022-10-29,19575,242,47679695,83.4828020000117
United States,2022-10-30,21547,184,47701242,86.43643078227899
United States,2022-10-31,17863,131,47719105,84.89817608434363
United States,2022-11-01,27347,241,47746452,90.46842946507304
United States,2022-11-02,25663,372,47772115,91.3652464729143
United States,2022-11-03,37548,542,47809663,89.57202231154898
United States,2022-11-04,46160,307,47855823,88.67220617290667
United States,2022-11-05,39417,436,47895240,90.98490252801629
United States,2022-11-06,34342,232,47929582,90.14792592814713
United States,2022-11-07,40922,523,47970504,88.8890457616795
United States,2022-11-08,43718,642,48014222,89.66377020874941
United States,2022-11-09,54186,648,48068408,88.85850741250104
United States,2022-11-10,51259,371,48119667,89.24689469795547
United States,2022-11-11,52208,570,48171875,86.96851177000553
United States,2022-11-12,48926,673,48220801,90.32939565487428
United States,2022-11-13,50957,707,48271758,89.22459688012803
United States,2022-11-14,56790,596,48328548,92.16721930781094
United States,2022-11-15,54070,471,48382618,88.4034055109231
United States,2022-11-16,58890,586,48441508,88.09863241718935
United States,2022-11-17,52571,710,48494079,90.4475759032778
United States,2022-11-18,39083,426,48533162,88.25955351571298
United States,2022-11-19,51500,606,48584662,92.08832175413815
United States,2022-11-20,45409,626,48630071,90.92509710529508
United States,2022-11-21,53914,728,48683985,92.21740716116581
United States,2022-11-22,51532,688,48735517,91.43001402760228
United States,2022-11-23,52629,588,48788146,92.33859118089134
United States,2022-11-24,43044,594,48831190,90.9611242148215
United States,2022-11-25,42928,358,48874118,90.29342737286665
United States,2022-11-26,38216,503,48912334,90.98991103512306
United States,2022-11-27,38811,196,48951145,92.5569037252146
United States,2022-11-28,39596,586,48990741,87.02121388070138
United States,2022-11-29,27234,308,49017975,91.49250713205444
United States,2022-11-30,36953,224,49054928,90.42726084885702
United States,2022-12-01,32236,471,49087164,95.0
United States,2022-12-02,40132,574,49127296,90.11701150387277
United States,2022-12-03,35025,280,49162321,93.38817998579661
United States,2022-12-04,38479,416,49200800,93.34927853873566
United States,2022-12-05,49152,268,49249952,89.95362619043244
United States,2022-12-06,47865,251,49297817,91.94838922537409
United States,2022-12-07,56474,668,49354291,92.86849947785403
United States,2022-12-08,42755,640,49397046,92.18701424660748
United States,2022-12-09,46286,307,49443332,88.60238808675983
United States,2022-12-10,58731,423,49502063,94.97461779851325
United States,2022-12-11,58517,675,49560580,91.87184273852654
United States,2022-12-12,57728,833,49618308,90.70608274253313
United States,2022-12-13,69229,621,49687537,90.85983046734769
United States,2022-12-14,65463,477,49753000,92.58686566313735
United States,2022-12-15,55434,756,49808434,95.0
United States,2022-12-16,64467,441,49872901,92.94215023165026
United States,2022-12-17,63660,809,49936561,93.91350643830756
United States,2022-12-18,63923,719,50000484,94.215028654299
United States,2022-12-19,61985,803,50062469,94.41800751517702
United States,2022-12-20,54957,343,50117426,92.90046698070184
United States,2022-12-21,55477,388,50172903,95.0
United States,2022-12-22,53633,580,50226536,92.97142193722006
United States,2022-12-23,59683,483,50286219,91.69475204139522
United States,2022-12-24,52095,298,50338314,92.94922190723102
United States,2022-12-25,48949,538,50387263,88.15224134674209
United States,2022-12-26,53785,731,50441048,90.8127421078732
United States,2022-12-27,41248,306,50482296,92.90457728771604
United States,2022-12-28,55139,663,50537435,92.95479382111036
United States,2022-12-29,39184,323,50576619,93.05377167798906
United States,2022-12-30,32893,279,50609512,93.07532046633588
United States,2022-12-31,29168,311,50638680,92.4377994142281
India,2022-01-01,196897,1378,196897,61.24661961330921
India,2022-01-02,225261,1197,422158,61.84926736582554
India,2022-01-03,253506,3475,675664,60.715851457383536
India,2022-01-04,245240,2058,920904,61.27034360336394
India,2022-01-05,240155,3163,1161059,61.90029094199766
India,2022-01-06,308948,3171,1470007,58.621624363820864
India,2022-01-07,257064,1440,1727071,60.40909879218149
India,2022-01-08,263014,3607,1990085,59.03222833189135
India,2022-01-09,265155,3419,2255240,58.94140352490756
India,2022-01-10,303769,3205,2559009,64.28454071722373
India,2022-01-11,288886,4322,2847895,61.50665152075448
India,2022-01-12,323660,2264,3171555,60.240062653436524
India,2022-01-13,315756,1675,3487311,60.423189940760786
India,2022-01-14,327572,4482,3814883,56.66283185224482
India,2022-01-15,363413,3363,4178296,61.7463170972383
India,2022-01-16,306440,4558,4484736,57.07125023958036
India,2022-01-17,297300,3642,4782036,64.00347420506027
India,2022-01-18,367379,5145,5149415,59.92298306099858
India,2022-01-19,290156,3169,5439571,58.85446315090295
India,2022-01-20,369579,4557,5809150,62.760182708294906
India,2022-01-21,333550,4699,6142700,58.628779437836386
India,2022-01-22,299301,4403,6442001,58.6567532641239
India,2022-01-23,313239,3108,6755240,59.41702004201302
India,2022-01-24,308000,2911,7063240,59.25877133582779
India,2022-01-25,219956,2404,7283196,60.4703996577094
India,2022-01-26,257257,3780,7540453,57.760660210747716
India,2022-01-27,274459,2264,7814912,57.5084678818006
India,2022-01-28,224319,3297,8039231,60.69300776346143
India,2022-01-29,178571,1024,8217802,59.455208059000384
India,2022-01-30,206310,1726,8424112,57.43401555162286
India,2022-01-31,180147,1348,8604259,62.467373842752075
India,2022-02-01,117811,785,8722070,64.70044348422698
India,2022-02-02,118512,1155,8840582,65.44500182977376
India,2022-02-03,121944,1323,8962526,63.860083294382136
India,2022-02-04,121766,745,9084292,63.75945237388025
India,2022-02-05,135130,1393,9219422,62.92555552698032
India,2022-02-06,143553,2058,9362975,60.930090270935736
India,2022-02-07,155426,841,9518401,59.003598630935784
India,2022-02-08,164293,2247,9682694,63.905069783642666
India,2022-02-09,184443,1823,9867137,57.20748924361262
India,2022-02-10,162197,859,10029334,63.806780046708155
India,2022-02-11,197436,1385,10226770,60.92018814574894
India,2022-02-12,188872,1782,10415642,61.69857292530982
India,2022-02-13,184719,2203,10600361,63.43486574635945
India,2022-02-14,188933,2111,10789294,67.00681453436421
India,2022-02-15,193056,1023,10982350,65.10130879201522
India,2022-02-16,192405,2263,11174755,63.89845686983949
India,2022-02-17,197326,1763,11372081,60.713990174539035
India,2022-02-18,172940,2002,11545021,63.593256639352354
India,2022-02-19,179617,2462,11724638,63.65752482060696
India,2022-02-20,180615,2236,11905253,65.8703630983801
India,2022-02-21,165562,1369,12070815,64.92817433657672
India,2022-02-22,178088,2247,12248903,64.13990061068276
India,2022-02-23,149708,1972,12398611,65.75141362662323
India,2022-02-24,147374,745,12545985,60.942651333741836
India,2022-02-25,119555,1071,12665540,60.11989823481141
India,2022-02-26,112922,1071,12778462,66.10512363097928
India,2022-02-27,106427,774,12884889,60.353820413185005
India,2022-02-28,108215,1264,12993104,61.599768253589986
India,2022-03-01,18687,164,13011791,70.50487161068861
India,2022-03-02,23323,228,13035114,68.25223405203076
India,2022-03-03,20558,222,13055672,62.709202506086214
India,2022-03-04,35110,444,13090782,67.45030279876349
India,2022-03-05,31279,455,13122061,67.70683111756061
India,2022-03-06,30342,432,13152403,66.78416905940173
India,2022-03-07,30463,300,13182866,65.43864984626646
India,2022-03-08,31753,256,13214619,64.03145524941499
India,2022-03-09,36825,298,13251444,68.7840045726892
India,2022-03-10,42695,329,13294139,67.54616637835505
India,2022-03-11,35520,241,13329659,65.55073370000595
India,2022-03-12,36597,375,13366256,67.10207460448507
India,2022-03-13,38672,412,13404928,66.63956386828508
India,2022-03-14,46024,483,13450952,65.84971166637996
India,2022-03-15,42178,612,13493130,65.14118891774949
India,2022-03-16,46025,637,13539155,66.76794310509372
India,2022-03-17,39614,440,13578769,64.6741981648981
India,2022-03-18,45619,638,13624388,65.39819196127728
India,2022-03-19,37150,475,13661538,64.61418960440818
India,2022-03-20,43390,400,13704928,64.87910369702095
India,2022-03-21,37590,422,13742518,66.5579883244476
India,2022-03-22,46289,309,13788807,63.52435811182577
India,2022-03-23,39735,284,13828542,66.82759819490299
India,2022-03-24,40335,422,13868877,69.24679312459809
India,2022-03-25,32805,359,13901682,63.260394040841845
India,2022-03-26,34052,216,13935734,65.99583240515963
India,2022-03-27,28490,264,13964224,69.27823361088814
India,2022-03-28,32562,485,13996786,68.20809827296671
India,2022-03-29,29198,226,14025984,69.25679324625708
India,2022-03-30,21528,184,14047512,64.57740275047892
India,2022-03-31,23239,131,14070751,64.46005353788271
India,2022-04-01,8104,84,14078855,70.40274612967845
India,2022-04-02,10417,107,14089272,70.66705792321785
India,2022-04-03,9182,107,14098454,66.5330637974398
India,2022-04-04,14189,136,14112643,69.83803801873209
India,2022-04-05,12799,186,14125442,67.63822543592184
India,2022-04-06,14275,100,14139717,67.15865281384127
India,2022-04-07,12972,123,14152689,69.16255368553405
India,2022-04-08,13963,162,14166652,71.47218635042087
India,2022-04-09,14919,97,14181571,66.18571194757017
India,2022-04-10,18028,184,14199599,69.28343382727981
India,2022-04-11,15715,197,14215314,69.45068550737814
India,2022-04-12,17414,223,14232728,68.6950603272389
India,2022-04-13,16017,137,14248745,67.22050779642686
India,2022-04-14,15159,135,14263904,70.01598265382509
India,2022-04-15,21054,213,14284958,66.73709395869514
India,2022-04-16,17991,268,14302949,70.67698154890329
India,2022-04-17,17396,248,14320345,69.92794456584691
India,2022-04-18,17921,157,14338266,68.80222069361771
India,2022-04-19,18378,147,14356644,70.19918822656298
India,2022-04-20,16969,114,14373613,67.4885096810143
India,2022-04-21,15301,225,14388914,71.62613703117744
India,2022-04-22,17844,112,14406758,69.9493964657599
India,2022-04-23,19237,243,14425995,68.39971943121502
India,2022-04-24,15037,135,14441032,66.37632753529968
India,2022-04-25,13754,78,14454786,67.01537346792782
India,2022-04-26,13581,199,14468367,70.05938550871346
India,2022-04-27,10065,101,14478432,67.70694095761513
India,2022-04-28,10428,118,14488860,68.71182488855676
India,2022-04-29,11648,133,14500508,66.43500275775696
India,2022-04-30,9633,53,14510141,71.9814522736999
India,2022-05-01,5458,33,14515599,71.17813768740163
India,2022-05-02,6018,71,14521617,71.39506062702374
India,2022-05-03,7222,108,14528839,70.54253663725119
India,2022-05-04,8215,66,14537054,74.38129254957268
India,2022-05-05,8845,81,14545899,76.57736413759534
India,2022-05-06,7599,65,14553498,71.55046919621464
India,2022-05-07,10587,130,14564085,71.36669994147755
India,2022-05-08,9354,48,14573439,66.81791541571017
India,2022-05-09,11177,71,14584616,70.40711963788084
India,2022-05-10,9324,47,14593940,72.36671983955831
India,2022-05-11,10137,106,14604077,71.93812200568875
India,2022-05-12,12535,74,14616612,71.68294085394606
India,2022-05-13,10481,86,14627093,71.9198229746869
India,2022-05-14,11642,101,14638735,75.42341696028468
India,2022-05-15,11090,142,14649825,67.447252982816
India,2022-05-16,11349,134,14661174,74.07980937479215
India,2022-05-17,10457,140,14671631,71.18655383390683
India,2022-05-18,14001,162,14685632,70.78857015399332
India,2022-05-19,12073,134,14697705,73.59899850700829
India,2022-05-20,11657,75,14709362,70.49316425930763
India,2022-05-21,11471,135,14720833,75.44425721136994
India,2022-05-22,10741,61,14731574,72.36936061172982
India,2022-05-23,9974,79,14741548,74.5976226496941
India,2022-05-24,11501,133,14753049,70.68621144205721
India,2022-05-25,9474,56,14762523,71.12789302470024
India,2022-05-26,10565,80,14773088,73.43790662133013
India,2022-05-27,9494,83,14782582,74.62231777263621
India,2022-05-28,8056,89,14790638,71.4983339670899
India,2022-05-29,8412,86,14799050,74.44925417445266
India,2022-05-30,6590,97,14805640,73.85568025616247
India,2022-05-31,8004,99,14813644,75.598543150038
